Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
St Kitts Nevis,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,5.576,5.433,7.7,8.168,9.874,9.874,10.663,10.663,10.663,10.663
St Lucia,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0.016,0.031,0.031,0.078,0.093,0.155,1.181,1.298,1.298,3.162,3.162
St Maarten,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
St Martin,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,2.306,2.635,4.282,2.965,0.165,0.165,0.824
St Vincent Gren,Total renewable energy,Electricity generation (GWh),24,18,22,20,27,26,23.193,22.714,23.673,26.108,24.5,30.912,24.698,23.043,12.202,17.624,16.742,21.144,24.92,26.676
Trinidad Tobago,Total renewable energy,Electricity generation (GWh),20.531,30.039,27.369,13.902,25.579,24.743,29.09,22.285,3.534,3.939,4.408,4.408,4.408,4.408,4.892,5.582,5.582,5.582,4.698,4.698
Turks Caicos,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0.047,0.296,0.686,1.466
US Virgin Is,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0.69,0.885,1.52,7.451,13.546,13.602,7.512,7.512,7.512
Armenia,Total renewable energy,Electricity generation (GWh),1261.1,967.7,1657.5,1981.9,2013.6,1772.9,1825.3,1855.4,1798.9,2023.7,2563.1,2494.3,2315.1,2177.2,1996.6,2209.3,2354.35,2273.843,2339.5,2397.8
Azerbaijan,Total renewable energy,Electricity generation (GWh),1534,1301,2020,2469,2755,3009,2518,2364.229,2232.329,2310.629,3447.187,2676,1821.2,1626.4,1478.751,1828.478,2191.81,1976,2052.201,1910.3
Georgia,Total renewable energy,Electricity generation (GWh),5881.3,5535.39,6711.5,6497.2,6027.8,6030.4,5401.6,6831.17,7169.012,7417.005,9374.896,7892.456,7220.512,8271.206,8335.337,8453.764,9338.585,9298.518,10034.032,9017.227
Russian Fed,Total renewable energy,Electricity generation (GWh),164957.994,174862.298,163226.53,157009.578,177144.95,174228.33,175179.082,178876.233,166715.889,176153.401,168497.301,167875.608,167225.261,182826.405,177046.212,169804.219,186357.646,186946.935,193399.525,197725.284
Turkey,Total renewable energy,Electricity generation (GWh),31154.149,24346.446,33966.891,35560.485,46313.228,39750.57,44525.508,36461.349,34426.77,38148.455,55720.482,58109.775,65234.46,69249.339,52632.219,83661.217,90247.698,87238.5,97770.976,132263.834
Albania,Total renewable energy,Electricity generation (GWh),4594,3555.136,3512.272,4885.272,5466.272,5373.272,5431.272,2788.272,3797.272,5201.408,7567.544,4132.767,4725.924,6960.03,4725.629,5896.428,7783.062,4526.179,8553.486,5206.043
Andorra,Total renewable energy,Electricity generation (GWh),80,80,80,80,94,85,74,76,78.7,81,112.7,91.2,87.858,114.683,127.007,99.722,98.777,102.607,135.43,107.864
Austria,Total renewable energy,Electricity generation (GWh),43434.634,42232.465,41894.815,35312.928,39772.315,40884.588,40668.768,43177.482,44530.799,47177.243,44998.339,40908.167,51327.827,50491.402,50186.269,47582.04,51082.238,51055.166,50053.507,54380.114
Belarus,Total renewable energy,Electricity generation (GWh),28,31,30.292,29.373,34.34,37.2,38.586,50.248,73.723,105.122,130.42,138.865,170.378,266.256,254.901,281.102,392.006,754,774.311,1012.991
Belgium,Total renewable energy,Electricity generation (GWh),1044,1075,1138,1192,1496.016,2106.34,2952.218,3486.154,4416.982,5439.008,6630.7,8334.2,10513.3,11731.4,12266.4,14512.4,14352.8,15868.4,17151.9,19515.5
Bosnia Herzg,Total renewable energy,Electricity generation (GWh),5094,5181,5268,4501.116,5979.232,5998.348,5835.348,3989.348,4867.348,6239.348,8026.348,4388.148,4150.205,7238.353,5944.113,5547.277,5620.057,3817.8,6550,6393
Bulgaria,Total renewable energy,Electricity generation (GWh),2631,1651,2116,2995,3139.811,4302.015,4233.334,2876.709,2930.635,3680.262,5763.007,3889.538,5278.401,6880.991,7384.866,8761.571,7044.593,6131.113,9380.442,7509.766
Croatia,Total renewable energy,Electricity generation (GWh),6453.9,7180.4,5851.8,5457.8,7632.6,7060.5,6647,4743,5840.9,7488.092,9298.423,5288.024,5262.25,9275.27,9936.364,7510.195,8362.888,7115.7,9781.3,8346.8
Cyprus,Total renewable energy,Electricity generation (GWh),0,0,0,0,0.807,0.921,1.357,3.098,14.91,31.19,73.118,178.602,257.023,327.145,317.44,399.516,424.638,435.211,477.429,514.752
Czechia,Total renewable energy,Electricity generation (GWh),2283.935,2577.081,2998.132,1879.077,2741.362,3132.604,3520.692,3410.827,3730.933,4654.481,5902.669,7248.174,8064.608,9308.912,9171.636,9421.265,9384.9,9620.849,9425.319,10051.278
Denmark,Total renewable energy,Electricity generation (GWh),5572,5846,6789,8078,9519,9812,9201,10305,10096,10063.2,12429.378,14181.053,14837.429,15967.728,17983.683,18937.051,18390.025,21797.907,20761.113,23082.844
Estonia,Total renewable energy,Electricity generation (GWh),18,18,30,49,60,111,129.799,145.605,197.361,541.633,1043.965,1179.87,1476.923,1220.943,1391.77,1565.548,1587.683,1858.521,1988.802,2142.524
Faroe Islands,Total renewable energy,Electricity generation (GWh),75.3,75.3,97.05,88.68,103,109,115,120.21,108.8,107.4,81,107,110.6,112.4,155.2,189,158.5,170.9,171.9,156.1
Finland,Total renewable energy,Electricity generation (GWh),23378.576,21546.715,19829.865,19065.097,25631.32,23467.573,22465.711,24323.425,27780.596,21698.971,24195.05,24175.732,28560.2,25629.745,26270.968,30527.368,30412.234,31475.174,32138.997,31875.703
France,Total renewable energy,Electricity generation (GWh),69402.939,77738.761,64206.739,63056.525,63940.409,56324.843,62339.645,65908.391,73825.682,69657.938,78196.004,66030.711,85251.97,99429.559,94038.528,91835.722,99000.423,92633.092,113586.271,113112.228
Germany,Total renewable energy,Electricity generation (GWh),35475,37895,44477,46670,57957,63402,72511,89368,94283,95938,105180,124038,143043,152339,162526,188785,189672,216323,224507,242435
Gibraltar,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Greece,Total renewable energy,Electricity generation (GWh),4562,3560.1,4240.1,6458.1,6450.618,6999.902,8289.588,5379.842,5750.524,8163.558,10536.438,8143.703,10140.668,14350.158,12178.782,14849.849,14892.834,13801.039,16148.429,16074.679
Holy See,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Hungary,Total renewable energy,Electricity generation (GWh),243,257,237,336,935.23,1870.248,1493.11,1883.293,2356.329,2894.865,3020.026,2708.167,2645.839,2787.255,3151.017,3229.034,3258.007,3482,3767,4687
Iceland,Total renewable energy,Electricity generation (GWh),7679,8029,8410,8494,8619.719,8681.283,9926.269,11973.282,16465.09,16832.43,17057.403,17208.303,17546.567,18111.326,18120.698,18796.631,18548.816,19239.802,19831.968,19491.592
Ireland,Total renewable energy,Electricity generation (GWh),1186,1027,1382,1138,1394,1873.432,2474.747,2802.06,3595.347,4117.598,3728.782,5423.594,5256.269,5627.591,6392.147,7861.483,7513.444,8881.688,10198.854,11779.508
Italy,Total renewable energy,Electricity generation (GWh),50879.446,54347.273,48316.358,46865.8,53870.688,48438.592,50635.412,47715.667,58163.557,69254.644,76974.734,82972.557,92231.912,112020.832,120693.074,108918.044,108034.933,103910.332,114427.339,115859.593
Kosovo*,Total renewable energy,Electricity generation (GWh),52,52,52,52,113,112,101,94,76,120,157,104.906,95.579,143.303,151.369,140.286,245.507,180.209,304.436,314.119
Latvia,Total renewable energy,Electricity generation (GWh),2823.574,2839.538,2484.846,2338.638,3196.522,3413.143,2786.536,2828.324,3212.138,3556.191,3635.563,3076.862,4109.233,3534.13,2802.45,2776.725,3480.792,5461.7,3498.595,3192.11
Liechtenstein,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Lithuania,Total renewable energy,Electricity generation (GWh),340,328,358,332,428,460,435,581,602.091,684.091,911.091,1112.273,1183,1526,1511,1678,2095,2537.848,2204.6,2469.1
Luxembourg,Total renewable energy,Electricity generation (GWh),170.598,167.692,151.284,141.138,195.231,209.051,245.628,264.556,282.382,267.811,268.032,245.773,308.056,370.171,397.63,430.786,457.203,600.388,684.48,796.261
Malta,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0.075,0.075,0.075,0.15,0.675,0.68,9.99,25.765,35.555,75.438,102.048,136.25,172.057,197.832,218.059
Moldova Rep,Total renewable energy,Electricity generation (GWh),377,377,377,377,377,377,377,377,389,358,407,356.2,271.692,316.4,335.781,286.631,248.892,317.1,331.7,378.1
Monaco,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Montenegro,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,1866,1750.03,1284.235,1539.466,2071.592,2750.774,1204.924,1478.33,2505.637,1754.497,1494.603,1847.324,1125.39,2261.908,1933.974
Netherlands,Total renewable energy,Electricity generation (GWh),2971.01,3302.195,3975.397,3961.849,5306.739,7446.935,8049.957,7582.729,9530.776,10835.016,11196.671,12320.182,12480.856,12105.834,11647.701,13673.943,14777.388,17436.57,18901.501,22731.753
North Macedonia,Total renewable energy,Electricity generation (GWh),1170,626,757,1374,1481.99,1491.78,1649.589,1010.031,840.092,1270.349,2431.497,1434.293,1043.603,1593.017,1291.667,2028.559,2066.558,1296.061,1965.543,1343.807
Norway,Total renewable energy,Electricity generation (GWh),142110.34,120750.34,129702.34,106034.23,109398.23,136526.23,120400.12,134941.12,140361.387,126494.743,117975.199,121909.555,143607,130424.89,137956.67,140086.45,145179.863,145519.061,142937.063,131414.526
Poland,Total renewable energy,Electricity generation (GWh),2332,2783,2767,2250,3207.058,3848.183,4297.886,5475.572,6658.317,8743.895,11104.05,13293.314,17020.706,17154.121,19930.171,22809.389,22831.911,24155.34,21650.744,25492.444
Portugal,Total renewable energy,Electricity generation (GWh),12868,15741,9733,17703,12314.558,8259.837,15722.673,16217.671,14641.608,18291.167,28352.893,24115.172,19371.605,29471.744,31561.03,24371.893,32310.337,22574.643,29419.093,27422.536
Romania,Total renewable energy,Electricity generation (GWh),14778,14923,16049,13262,16517.053,20213.08,18359.899,16003.487,17224.736,15552.991,20300.268,16314.426,14926.233,20148.731,27126.618,26201.111,26969.073,24282.001,26194.582,24635.19
San Marino,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Serbia,Total renewable energy,Electricity generation (GWh),9821.278,9887.668,9927.594,8737.309,10620.34,11410.69,10350.526,9463.818,9565.035,10542.642,11892.595,8669.788,9296.219,10229.773,11032.74,10116.38,10864.907,9291.021,10905.825,10507.056
Slovakia,Total renewable energy,Electricity generation (GWh),4615,5081,5420,3581,4126,4676,4803,4934,4563.332,4910.561,5939.942,4999.187,5474,6353,6229,6040,6629,6532,5806,6644
Slovenia,Total renewable energy,Electricity generation (GWh),3904.721,3867.738,3414.565,3079.286,4215.13,3575,3703.06,3379.408,4307.6,4906.563,4749.098,3880.62,4328.974,5110.743,6610.582,4354.364,5057.671,4447.847,5232.766,5039.621
Spain,Total renewable energy,Electricity generation (GWh),34490,49295,33170,55762,50137.743,42269.979,52154.968,58290.208,62143.147,74080,97776.2,87522.13,86961.884,111405.121,110268.19,97088.714,104632.347,87924.26,103885.26,100968.261
Sweden,Total renewable energy,Electricity generation (GWh),83140.418,83320.519,71144.671,58730.821,68186.306,81231.05,71067.804,77424.509,81408.318,79810.022,82085.488,84088.1,98309.1,82688.256,85741.067,102496.582,89126.944,95058.1,91153.1,98933.1
Switzerland,Total renewable energy,Electricity generation (GWh),37691,42206,36104,35735,34751,32279,32141,36478,37326,37034,37472,34017,40527,40676,40669,41110,37809,37762,38878,42238
UK,Total renewable energy,Electricity generation (GWh),12664,9548.638,11127.694,10618.992,14138.115,16937.63,18105.905,19689.139,21846.747,25244.513,26182.131,35213.277,41249.64,53215.404,64523.368,82576.308,82981.245,98871.273,110038.116,120505.012
Ukraine,Total renewable energy,Electricity generation (GWh),11280,12048,9649,9269,11786,12399.9,12920.2,10468.3,11705.2,11602.7,12876.5,10684.5,11234.2,15115.8,10887.454,7819.492,9948.896,12147.771,13759.507,12834.417
EU 28,Total renewable energy,Electricity generation (GWh),422801.032,436553.923,404705.392,411668.433,457981.378,463756.305,488935.44,519883.32,565617.866,599127.74,682048.547,682490.085,771842.586,862485.979,904232.286,941303.781,956808.608,976468.783,1054204.529,1101890.389
Bahrain,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,1.2,1.2,1.2,1.2,2.025,2.025,9.45,9.45,9.45,9.45,9.45,9.45
Iran IR,Total renewable energy,Electricity generation (GWh),3686.542,5090.664,8080.289,11121.629,10673.347,16155.91,18294.393,18127.993,4948.951,7435.181,9742.722,12294.179,12674.531,14701.266,14107.031,14347.057,16710.054,15467.515,16596.733,16202.38
Iraq,Total renewable energy,Electricity generation (GWh),611,618,649,433,493,4964,4970,4548,3485,3229.348,4768.348,4142.348,4394.498,4805.45,2990.45,2605.79,3430.887,2235.736,2196.595,5342.157
Israel,Total renewable energy,Electricity generation (GWh),31,10,32,43,39,40.7,27.21,40.892,55.032,114.492,218.199,421.859,495.885,618.169,967.842,1373.367,1713.967,1692.567,1755.767,3427.996
Jordan,Total renewable energy,Electricity generation (GWh),45,51,61,50,62,65,60,74,74,69,73,66.049,70.102,63.422,66.989,232.938,872.273,1419.173,2161.773,3001.473
Kuwait,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0.011,0.011,0.182,3.278,5.09,48.814,53.214,55.174,62.18
Lebanon,Total renewable energy,Electricity generation (GWh),677.89,677.89,677.89,1363.4,1121.475,1046.284,694.463,585.502,373.435,614.114,839.777,805.992,1189.669,1051.417,216.393,512.161,434.562,486.218,457.448,966.988
Oman,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,1.326,1.326,4.175,4.196,15.56,15.712,16.555
Palestine,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,9.25,42.5,45.63,60.276,120.276
Qatar,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,115.938,115.938,118.595,121.35,121.35,123.208,123.208,123.208,123.208
Saudi Arabia,Total renewable energy,Electricity generation (GWh),0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,4.089,5.392,25.637,42.475,45.881,45.881,45.881,69.854,218.774,834.55
Syrian AR,Total renewable energy,Electricity generation (GWh),3264.479,3443.479,2484.479,2791.479,4209.53,4359.53,3979.53,3512.53,2903.53,1900.53,2626.53,3317.53,3271.53,3034.53,2374.53,447.53,963.53,788.754,790.954,792.872
United Arab Em,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,6.354,17.164,18.232,18.92,77.33,303.936,304.347,320.378,745.189,1314.68,3793.649
Yemen,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,1.832,1.93,1.951,2.491,2.647,4.588,9.685,116.22,549,732,732,732
Bermuda,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Canada,Total renewable energy,Electricity generation (GWh),366993,342265,360012,347332,350599,371381,363056,378468,388488,383340,369445,395675,402187,421251,415910,421186,430044,441055,433242,427296
Greenland,Total renewable energy,Electricity generation (GWh),178.5,164.22,178.5,187.68,195.84,206.94,199.8,208.8,207.62,265.225,296,338,344.563,377.502,396.359,422.857,400.912,376,406.21,389.21
Mexico,Total renewable energy,Electricity generation (GWh),40655.576,36519.61,32744.636,28601.455,34283.2,38105.779,39526.808,37373.007,47260.687,34670.192,45771.713,45097.351,42380.276,39555.866,52858.355,47510.858,48936.724,51645.944,56757.261,56055.281
St Pierre Mq,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,1.8,1.8,1.8,1.8,1.8,1.8,0,0,0,0,0,0
USA,Total renewable energy,Electricity generation (GWh),330364,260426,348137,360433,357987,366205,395209,361815,391023,428696,440677,528962,512822,541802.001,560657.001,568439.001,637076.011,718174.011,743177.011,767035.011
Amer Samoa,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0.267,1.409,2.419,2.363,2.494,3.125,4.832,4.832,4.832
Australia,Total renewable energy,Electricity generation (GWh),17590.1,18162.1,17874.1,18619.1,18683.1,20103.1,21642,21013.001,19726.001,18602.001,21721.001,26273.001,26318.001,32704.001,36112.001,33423.001,37151.001,40207.001,44415.001,51658.001
Christmas Is,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Cocos Is,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Cook Is,Total renewable energy,Electricity generation (GWh),0.061,0.061,0.061,0.062,0.085,0.085,0.067,0.063,0.061,0.061,0.061,0.061,0.061,0.574,1.447,3.472,5.81,7.008,16.426,15.363
Fiji,Total renewable energy,Electricity generation (GWh),512.696,548.908,562.63,442.127,475.759,444.762,457.232,602.105,593.778,543.934,491.573,540.286,598.327,593.077,489.485,486.63,553.631,569.164,666.42,664.354
Fr Polynesia,Total renewable energy,Electricity generation (GWh),148.349,155.192,120.527,124.918,157.271,149.131,162.256,177.109,161.131,158.213,215.666,184.813,174.093,170.092,194.331,198.99,216.982,212.066,202.421,200.413
Guam,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0.082,0.164,0.245,0.573,1.473,2.618,30.88,66.76,60.132,68.462,68.462
Kiribati,Total renewable energy,Electricity generation (GWh),0.105,0.105,0.105,0.105,0.343,0.404,0.421,0.443,0.458,0.45,0.662,0.72,0.788,0.848,1.273,3.902,4.837,4.837,4.837,4.837
Marshall Is,Total renewable energy,Electricity generation (GWh),0.054,0.054,0.054,0.054,0.095,0.095,0.095,0.095,0.202,0.365,0.432,0.432,0.648,0.891,1.269,1.269,1.494,1.831,1.852,1.852
Micronesia,Total renewable energy,Electricity generation (GWh),3.752,3.752,3.752,0.143,0.143,0.143,0.143,0.257,0.336,0.755,0.755,0.755,0.755,0.978,1.613,2.57,3.582,3.639,4.252,4.252
Nauru,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0.051,0.051,0.051,0.053,0.048,0.054,0.09,0.27,0.27,0.238,0.288,1.259,1.187,1.343
New Caledon,Total renewable energy,Electricity generation (GWh),449.053,374.047,328.974,328.213,337.399,357.343,317.183,427.878,496.465,440.593,319.819,425.443,459.528,513.693,351.385,408.989,288.929,434.255,409.485,458.044
New Zealand,Total renewable energy,Electricity generation (GWh),28062,25150,28227,26901,30840,27598,28114,28687,28174,31158,32859,33913,31911,32330,34596,35571,36936,35978,37030,36614
Niue,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0.071,0.071,0.071,0.071,0.071,0.469,0.469,0.469,0.469,0.469,0.469
Norfolk Is,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Nth Mariana Is,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Palau,Total renewable energy,Electricity generation (GWh),0.005,0.005,0.005,0.005,0.005,0.043,0.043,0.043,0.378,0.378,0.391,0.773,0.894,0.998,1.219,1.219,1.715,1.715,2.251,2.338
Papua N Guin,Total renewable energy,Electricity generation (GWh),764.746,764.924,764.508,815.368,811.754,872.275,879.113,1100.834,1183.121,1233.997,1195.939,1311.87,1326.467,1333.146,1312.214,1315.076,1317.251,1318.666,1319.785,1321.294
Pitcairn,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Samoa,Total renewable energy,Electricity generation (GWh),47.64,52.069,52.755,51.131,54.874,56.701,50.546,51.824,45.01,44.179,40.496,30.988,34.585,32.103,33.364,40.77,46.464,55.428,68.531,72.965
Solomon Is,Total renewable energy,Electricity generation (GWh),0.817,0.817,0.894,0.894,0.97,0.97,1.493,2.594,3.132,3.461,2.736,4.288,4.288,4.526,5.77,6.325,7.267,7.809,6.542,7.107
Tokelau,Total renewable energy,Electricity generation (GWh),0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.549,1.077,1.12,1.12,1.12,1.226,1.226,1.226
Tonga,Total renewable energy,Electricity generation (GWh),0.078,0.078,0.114,0.114,0.114,0.114,0.151,0.151,0.151,0.163,0.163,0.163,1.178,2.883,3.75,4.578,5.33,6.16,7.226,8.696
Tuvalu,Total renewable energy,Electricity generation (GWh),0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.063,0.092,0.092,0.092,0.092,0.194,0.185,0.808,1.98,1.984,1.984,1.984
Vanuatu,Total renewable energy,Electricity generation (GWh),1,1,1,1,1,1,1,1,2.281,8.46,12.127,11.256,15.791,23.718,18.019,19.975,15.819,16.545,19.111,22.572
Wallis Fut Is,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Argentina,Total renewable energy,Electricity generation (GWh),29354.342,37583.109,36676.413,34803.937,31124.834,35124.218,39440.299,32643.021,31893.539,35520.452,34512.937,32565.987,30698.794,34722.709,34200.684,35861.588,31471.347,41360.608,42438.809,42728.209
Bolivia,Total renewable energy,Electricity generation (GWh),1931.04,2160.199,2219.053,2003.132,2200.067,2015.622,2206.786,2432.857,2423.286,2409.276,2287.611,2461.023,2466.589,2648.781,2412.094,2660.041,1936.6,2422.72,2967.142,3726.88
Brazil,Total renewable energy,Electricity generation (GWh),312259.639,276901.407,296379.347,317571.463,333332.964,351192.75,363888.118,392741.349,390525.657,415101.936,437409.289,463666.565,456159.802,438547.45,432745.241,431313.389,465822.675,467028.708,495300.265,515448.649
Chile,Total renewable energy,Electricity generation (GWh),19487,23136,24250,23555,24079,28323,30622,25894,27372,29699,24298,26049.857,25440.867,26059.928,30349.001,32872,34318.999,34991.797,38514.567,37309.102
Colombia,Total renewable energy,Electricity generation (GWh),31874.837,33264.316,35529.049,38074.644,40806.014,41962.977,43318.264,44941.842,46838.004,41748.98,41597.423,49793.323,49028.112,45520.932,46118.024,46140.59,48268.788,58928.46,58434.635,56460.576
Ecuador,Total renewable energy,Electricity generation (GWh),7611.232,7070.653,7524.256,7180.417,7414.941,6985.507,7275.064,9257.388,11504.366,9445.139,8875.398,11414.691,12536.922,11395.099,11953.653,13638.984,16446.004,20658.188,21224.307,25263.335
Falklands Malv,Total renewable energy,Electricity generation (GWh),1,1,1,1,1,1,1,4.85,5.15,5.15,5.252,6.179,6.737,6.426,6.442,6.477,7.374,6.52,6.773,6.669
Fr Guiana,Total renewable energy,Electricity generation (GWh),409.064,422.816,422.816,343.064,417.064,432.118,545.171,504.171,507.171,358.471,477.171,517.371,623.671,550.971,568.071,563.171,503.428,630.274,601.895,477.688
Guyana,Total renewable energy,Electricity generation (GWh),41.398,42.197,49.335,47.226,48.17,40.823,41.147,43.743,37.187,71.983,93.327,92.097,70.713,85.154,79.887,65.665,85.566,87.631,90.957,94.387
Paraguay,Total renewable energy,Electricity generation (GWh),53481.4,45308.56,48203.82,51762.23,51980.15,51158.488,53775.177,53716.077,55456.928,54940.788,54066.61,57625.932,60233.412,60505.995,55415.449,55889.048,63939.752,59824.385,59344.12,49581.735
South Georgia,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572,0.663,0.485,0.695,0.751
Peru,Total renewable energy,Electricity generation (GWh),16306.198,17722.864,18200.57,18702.266,17670.79,18161.87,19764.683,19705.146,19253.766,20115.82,20289.563,21783.301,22649.888,22990.833,23191.712,24545.41,26034.814,30814.756,33482.685,34413.797
Suriname,Total renewable energy,Electricity generation (GWh),1226,1228,856,772,739,640,753.7,890.6,1000,1175.885,1065.216,1368.765,1112.895,838.693,564.195,487.802,798.969,942.857,1018.307,971.857
Uruguay,Total renewable energy,Electricity generation (GWh),7077.94,9221.045,9562.531,8556.821,4808.021,6708.077,3583.7,8156.543,5408.174,6041.851,9586.368,7721.325,6855.85,9806.362,12308.238,12800.783,13421.216,14114.029,14231.867,15775.457
Venezuela,Total renewable energy,Electricity generation (GWh),70810.876,70768.011,66931.634,66931.634,74288.262,77236.78,81551.38,83168.44,86852.2,85968.72,76779.098,83270.85,81916.712,81595.4,86419.1,76097.912,76098.444,51163.819,25277.65,15208.225
